,id,createdTime,fields.Unnamed: 0,fields.index,fields.city_name,fields.iata_code,fields.gmt,fields.timezone,fields.latitude,fields.longitude
158,rec1FhMnKHHFGlHs7,2024-07-21T16:17:50.000Z,5358,313,Naples,APF,-5,America/New_York,26.152779,-81.775276
159,rec1FqUDKYE5PXwXc,2024-07-21T16:21:22.000Z,8180,7781,Uruapan,UPN,-6,America/Mexico_City,19.411112,-102.04722
160,rec1HevusPcuWWvmY,2024-07-21T16:14:19.000Z,2408,483,Fort Devens,AYE,-5,America/New_York,42.55,-71.6
161,rec1IRZ0Cu4Zxt9Q2,2024-07-21T16:14:23.000Z,2466,8102,Franz Josef,WHO,12,Pacific/Auckland,-43.38333,170.18333
162,rec1ITEnl3PZhrYGx,2024-07-21T16:19:29.000Z,6692,6459,Rostov,ROV,3,Europe/Moscow,47.25,39.75
163,rec1Ijrnlrfmsom9M,2024-07-21T16:12:01.000Z,490,135,Augusta,AGS,-5,America/New_York,33.474246,-82.00967
164,rec1Io7G4oOA4Uxoi,2024-07-21T16:13:50.000Z,1990,1845,Dirranbandi,DRN,10,Australia/Brisbane,-28.586666,148.21527
165,rec1JGfKcYPDMsN0A,2024-07-21T16:14:59.000Z,2992,2777,Heidelberg,HDB,1,Europe/Berlin,49.4019,8.680285
166,rec1JOTWeVvGlLcXA,2024-07-21T16:19:32.000Z,6731,6525,Rurutu,RUR,-10,Pacific/Tahiti,-22.433332,-151.33333
167,rec1KGwxUcqNSOtwI,2024-07-21T16:19:16.000Z,6523,6314,Recife,REC,-3,America/Recife,-8.131507,-34.91792
168,rec1KcGdntnB9M06S,2024-07-21T16:17:50.000Z,5355,8356,Napanee,XIF,-5,America/Toronto,33.5062,-90.8709
169,rec1Kri9EeGjHKQiw,2024-07-21T16:21:39.000Z,8412,8095,Wangaratta,WGT,10,Australia/Melbourne,-36.36667,146.33333
170,rec1LIUNYAWHmSaOk,2024-07-21T16:14:11.000Z,2291,2152,Excursion Inlet,EXI,-9,America/Juneau,58.420834,-135.44722
171,rec1LIxlR2La3ETJC,2024-07-21T16:20:01.000Z,7119,5879,Semipalatinsk,PLX,6,Asia/Almaty,50.333332,80.25
172,rec1LZW4tkhmyBPip,2024-07-21T16:14:47.000Z,2813,2678,Gualaco,GUO,-6,America/Tegucigalpa,15.116667,-86.13333
173,rec1MnsgR5CGggKb3,2024-07-21T16:12:20.000Z,753,624,Bedourie,BEU,10,Australia/Brisbane,-24.23,139.445
174,rec1N8DPscfpKGg3g,2024-07-21T16:17:37.000Z,5184,4186,Mount Holly,LLY,-5,America/New_York,39.916668,-74.75
175,rec1NiIM3tVU5Nzjs,2024-07-21T16:17:24.000Z,4998,4645,Miramar,MJR,-3,America/Argentina/Buenos_Aires,-38.25,-57.833332
176,rec1Oq4ei7iVCY0uN,2024-07-21T16:18:03.000Z,5528,5227,Nomad River,NOM,10,Pacific/Port_Moresby,-6.3,142.21666
177,rec1OspPdKS7sFTbI,2024-07-21T16:13:32.000Z,1735,5586,Coto 47,OTR,-6,America/Costa_Rica,8.566667,-82.933334
178,rec1PGl9wPW96rOi1,2024-07-21T16:12:04.000Z,538,832,Baganga,BNQ,8,Asia/Manila,13.25,121.05
179,rec1PerxOvlhQx3Za,2024-07-21T16:21:40.000Z,8438,8762,Waskaganish,YKQ,-5,America/Montreal,51.4875,-78.75
180,rec1Pz4sbHmRg9KUh,2024-07-21T16:13:29.000Z,1684,1344,Coolah,CLH,10,Australia/Sydney,-31.833332,149.7
181,rec1Q8HVvAUxRL4aw,2024-07-21T16:16:14.000Z,4032,4014,La Baule-Escoublac,LBY,1,Europe/Paris,47.28889,-2.345833
182,rec1QQZwxLJCb1twY,2024-07-21T16:18:13.000Z,5662,5437,Oita,OIT,9,Asia/Tokyo,33.477238,131.73236
